Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Rashard Smith,NCST,17,127,6,121,7.12,19,0,Rushing
Tim Byerly,GT,18,125,6,119,6.61,22t,2,Rushing
Deon Hill,GT,13,123,4,119,9.15,24,1,Rushing
Chad Kelly,CLEM,16,129,12,117,7.31,38t,1,Rushing
B.J. Bostic,GT,16,122,6,116,7.25,14,0,Rushing
Charles Perkins,GT,13,114,0,114,8.77,31t,2,Rushing
Kermit Whitfield,FSU,3,110,0,110,36.67,74t,2,Rushing
Tyler Boyd,PITT,11,114,6,108,9.82,33t,1,Rushing
Matt Connors,GT,16,103,1,102,6.38,55,2,Rushing
Synjyn Days,GT,27,102,9,93,3.44,14,4,Rushing
Stacy Coley,MIA,2,80,0,80,40,73t,1,Rushing
Joshua Wilhite,WF,22,86,11,75,3.41,21t,1,Rushing
Jamison Crowder,DUKE,8,71,0,71,8.88,22,1,Rushing
Chase Rettig,BC,60,250,179,71,1.18,54,1,Rushing
John Armstrong,WF,14,70,0,70,5,14,0,Rushing
Charles Brunson,UNC,9,61,3,58,6.44,29,0,Rushing
Cole Stoudt,CLEM,14,62,4,58,4.14,13t,2,Rushing
Herb Waters,MIA,2,63,5,58,29,63t,1,Rushing
Deandre Martin,WF,16,54,2,52,3.25,15,0,Rushing
Kenneth Goins,MD,9,48,0,48,5.33,10,0,Rushing
Alex Amidon,BC,8,51,4,47,5.88,15,1,Rushing
Stefon Diggs,MD,7,48,3,45,6.43,26,0,Rushing
LaChaston Smith,UVA,10,47,3,44,4.4,12,0,Rushing
Jay Jay McCullough,CLEM,6,43,0,43,7.17,12,0,Rushing
Joel Caleb,VT,8,41,0,41,5.12,13t,1,Rushing
Carlis Parker,VT,6,40,0,40,6.67,10,0,Rushing
Orville Reynolds,WF,9,40,4,36,4,9,0,Rushing
Tony Zenon,GT,14,50,15,35,2.5,14,0,Rushing
Milton Hall,NCST,9,37,4,33,3.67,10,0,Rushing
Freddie Stevenson,FSU,8,34,1,33,4.12,10,1,Rushing
Chad Abram,FSU,7,29,0,29,4.14,7,0,Rushing
Ryan Switzer,UNC,10,37,8,29,2.9,9,0,Rushing
Jerome Wright,VT,7,29,2,27,3.86,13,0,Rushing
Adonis Ameen-Moore,SYR,5,26,0,26,5.2,12,0,Rushing
