Team,Rec,Yds,Avg,Lg,TD,Stat Type,,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD,Stat_Type
LOU,18,177,9.83,27,1,Receiving,,,,,,,,,,
LOU,14,163,11.64,29,3,Receiving,,,,,,,,,,
LOU,12,135,11.25,34,1,Receiving,,,,,,,,,,
LOU,12,166,13.83,37,1,Receiving,,,,,,,,,,
LOU,10,105,10.5,26,0,Receiving,,,,,,,,,,
LOU,10,154,15.4,32,3,Receiving,,,,,,,,,,
MIA,52,695,13.37,58,5,Receiving,,,,,,,,,,
MIA,48,693,14.44,67,4,Receiving,,,,,,,,,,
MIA,41,624,15.22,46,1,Receiving,,,,,,,,,,
MIA,23,273,11.87,52,2,Receiving,,,,,,,,,,
MIA,22,293,13.32,41,1,Receiving,,,,,,,,,,
MIA,21,362,17.24,58,1,Receiving,,,,,,,,,,
MIA,18,237,13.17,46,1,Receiving,,,,,,,,,,
MIA,12,86,7.17,14,0,Receiving,,,,,,,,,,
NCST,65,597,9.18,64,7,Receiving,,,,,,,,,,
NCST,34,457,13.44,48,3,Receiving,,,,,,,,,,
NCST,25,290,11.6,21,3,Receiving,,,,,,,,,,
NCST,24,172,7.17,26,0,Receiving,,,,,,,,,,
NCST,22,288,13.09,36,0,Receiving,,,,,,,,,,
NCST,20,256,12.8,58,1,Receiving,,,,,,,,,,
NCST,18,167,9.28,28,1,Receiving,,,,,,,,,,
NCST,12,210,17.5,83,2,Receiving,,,,,,,,,,
PITT,91,926,10.18,51,6,Receiving,,,,,,,,,,
PITT,26,505,19.42,42,2,Receiving,,,,,,,,,,
PITT,24,350,14.58,28,4,Receiving,,,,,,,,,,
PITT,14,77,5.5,15,1,Receiving,,,,,,,,,,
PITT,13,244,18.77,55,5,Receiving,,,,,,,,,,
PITT,12,171,14.25,33,1,Receiving,,,,,,,,,,
SYR,39,570,14.62,62,7,Receiving,,,,,,,,,,
SYR,30,288,9.6,32,6,Receiving,,,,,,,,,,
SYR,21,140,6.67,13,0,Receiving,,,,,,,,,,
SYR,18,208,11.56,37,1,Receiving,,,,,,,,,,
SYR,17,293,17.24,89,2,Receiving,,,,,,,,,,
UNC,55,638,11.6,40,4,Receiving,,,,,,,,,,
UNC,54,693,12.83,89,6,Receiving,,,,,,,,,,
UNC,30,745,24.83,74,8,Receiving,,,,,,,,,,
UNC,29,488,16.83,42,4,Receiving,,,,,,,,,,
UNC,16,203,12.69,36,4,Receiving,,,,,,,,,,
UNC,13,71,5.46,14,0,Receiving,,,,,,,,,,
UNC,12,142,11.83,47,2,Receiving,,,,,,,,,,
UNC,12,225,18.75,61,1,Receiving,,,,,,,,,,
UNC,11,151,13.73,49,1,Receiving,,,,,,,,,,
UNC,9,54,6,20,0,Receiving,,,,,,,,,,
UVA,75,721,9.61,80,4,Receiving,,,,,,,,,,
UVA,53,747,14.09,38,8,Receiving,,,,,,,,,,
UVA,23,321,13.96,75,1,Receiving,,,,,,,,,,
UVA,21,216,10.29,50t,1,Receiving,,,,,,,,,,
UVA,16,182,11.38,28,3,Receiving,,,,,,,,,,
UVA,14,174,12.43,48,0,Receiving,,,,,,,,,,
UVA,14,185,13.21,42,1,Receiving,,,,,,,,,,
UVA,12,47,3.92,12,0,Receiving,,,,,,,,,,
UVA,11,90,8.18,21,2,Receiving,,,,,,,,,,
VT,75,"1,164",15.52,75,11,Receiving,,,,,,,,,,
VT,49,582,11.88,60,2,Receiving,,,,,,,,,,
VT,40,530,13.25,46,6,Receiving,,,,,,,,,,
VT,21,289,13.76,71,2,Receiving,,,,,,,,,,
VT,16,193,12.06,51,2,Receiving,,,,,,,,,,
VT,12,64,5.33,19,1,Receiving,,,,,,,,,,
WF,47,611,13,78,4,Receiving,,,,,,,,,,
WF,46,562,12.22,49,4,Receiving,,,,,,,,,,
WF,42,583,13.88,52,1,Receiving,,,,,,,,,,
WF,33,348,10.55,33,1,Receiving,,,,,,,,,,
WF,32,366,11.44,58,3,Receiving,,,,,,,,,,
WF,18,127,7.06,25,0,Receiving,,,,,,,,,,
