age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_4,ethnicity,hours,work_location,income,educational_attainment,occupation
0,2,1,1,2,1,6,60,2,0,2,5
0,2,1,2,1,0,2,40,2,1,2,5
1,2,2,2,2,0,1,40,2,1,2,5
3,1,1,2,1,1,2,32,2,1,2,3
0,1,1,2,1,1,6,35,2,1,3,8
0,1,2,2,1,1,3,9,2,0,3,4
1,2,2,2,1,1,6,30,2,3,3,1
0,2,0,1,1,1,6,35,2,2,3,1
0,2,1,2,1,1,6,5,2,0,3,6
1,2,1,2,1,1,3,30,2,0,2,3
0,1,1,1,1,1,5,32,2,1,3,3
0,2,0,0,0,1,6,40,2,2,2,4
0,2,1,1,1,1,3,2,3,0,3,3
1,1,1,2,2,1,6,25,2,2,3,7
0,2,2,2,0,1,6,3,2,0,1,5
0,2,1,0,1,1,6,6,2,0,3,2
4,2,2,2,1,0,6,20,2,2,1,5
0,1,1,2,1,1,6,5,2,0,3,5
0,1,2,1,0,1,6,30,2,1,2,3
0,2,1,1,1,1,3,40,2,1,2,1
0,2,1,2,2,1,3,40,2,1,3,4
0,1,2,2,1,1,3,9,2,0,3,1
0,2,2,2,0,1,6,80,1,0,1,5
0,2,1,0,1,1,6,35,2,2,3,4
0,1,1,2,1,1,2,25,2,2,2,2
2,2,2,2,0,1,6,8,1,0,1,5
0,2,2,1,1,1,6,45,2,2,2,9
1,2,2,1,2,1,6,8,1,1,3,1
0,1,2,2,2,1,6,40,2,0,3,2
0,2,2,1,1,1,5,30,2,2,2,3
2,1,1,1,1,1,6,35,2,2,3,6
1,1,2,2,2,1,6,6,2,0,2,3
1,2,2,2,2,1,6,8,2,0,2,2
0,1,2,2,2,1,1,8,2,0,3,2
0,1,0,1,1,1,6,6,2,1,2,2
1,2,2,1,0,1,6,40,1,2,2,8
0,1,1,2,1,1,5,6,2,2,2,4
0,3,2,2,0,0,6,20,1,2,2,5
0,2,2,2,0,1,1,15,3,1,2,7
0,2,1,2,1,1,2,6,2,3,3,1
