age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work location,income,educational_attainment
1,1,2,2,1,1,3,9,5,2,1,3
1,2,2,2,0,1,6,80,9,1,1,1
1,2,1,0,1,1,6,35,3,2,3,3
1,1,1,2,1,1,2,25,4,2,3,2
3,2,2,2,0,1,6,8,9,1,1,1
1,2,2,1,1,1,6,45,6,2,3,2
2,2,2,1,2,1,6,8,5,1,2,3
1,1,2,2,2,1,6,40,4,2,1,3
1,2,2,1,1,1,5,30,2,2,3,2
3,1,1,1,1,1,6,35,1,2,3,3
2,1,2,2,2,1,6,6,2,2,1,2
2,2,2,2,2,1,6,8,4,2,1,2
1,1,2,2,2,1,1,8,4,2,1,3
1,1,0,1,1,1,6,6,4,2,2,2
2,2,2,1,0,1,6,40,10,1,3,2
1,1,1,2,1,1,5,6,3,2,3,2
1,3,2,2,0,0,6,20,9,1,3,2
1,2,2,2,0,1,1,15,7,3,2,2
1,2,1,2,1,1,2,6,5,2,4,3
1,2,2,2,0,1,1,15,5,1,2,2
1,2,1,2,2,1,1,6,5,2,1,3
2,1,1,2,0,0,6,35,5,3,3,3
2,1,1,1,1,1,2,36,7,2,3,2
3,3,2,1,1,1,2,36,9,2,3,3
1,2,2,2,0,1,2,15,7,2,2,3
1,2,2,2,1,1,3,40,9,2,1,2
3,1,1,2,2,1,6,6,4,2,2,2
1,2,1,2,0,1,6,12,2,2,1,2
2,3,2,1,1,1,5,28,2,2,3,2
1,2,2,2,0,1,2,15,2,2,4,2
2,2,2,2,1,0,6,70,9,3,1,3
2,2,1,2,2,1,6,6,2,2,2,2
2,1,2,2,0,1,6,20,4,2,2,3
1,2,2,2,1,1,3,40,9,2,1,2
1,2,2,2,0,1,2,16,5,3,1,3
1,1,2,2,2,1,1,4,2,2,3,2
3,2,2,2,0,0,6,50,2,3,4,3
4,2,2,2,1,1,6,40,5,3,3,3
1,2,2,2,2,1,6,40,2,2,4,3
1,2,1,2,0,0,6,25,9,1,1,1
2,2,0,1,0,1,6,80,7,2,1,3
2,2,0,1,0,1,6,80,7,2,1,3
2,2,0,1,0,1,6,80,7,2,1,3
2,2,2,2,1,1,6,3,2,2,2,3
1,2,0,2,1,0,3,4,2,2,3,2
1,2,1,2,0,1,3,6,9,2,2,3
1,1,2,2,2,1,6,6,6,2,3,2
1,2,0,2,1,0,3,4,2,2,3,2
2,2,1,0,2,1,6,3,2,2,2,3
2,1,2,2,1,1,3,10,9,2,3,2
1,1,2,2,2,1,6,35,9,2,4,3
1,1,2,2,2,1,1,4,2,3,3,3
1,1,2,2,2,1,1,4,2,3,3,3
1,1,1,1,2,1,5,60,3,2,1,2
2,2,0,1,1,1,5,25,3,2,3,3
5,2,2,2,0,1,6,20,9,2,3,1
2,1,2,2,0,1,6,40,2,2,2,3
1,2,2,2,2,1,6,30,7,2,1,2
2,1,2,2,2,1,2,40,9,2,4,3
3,2,2,2,1,0,6,40,2,3,2,3
2,1,2,1,0,1,6,50,2,2,2,3
2,1,2,2,1,0,4,10,9,3,1,3
3,2,2,1,1,0,6,56,3,2,2,2
2,1,1,1,2,1,6,30,9,2,2,2
1,1,1,1,1,1,6,8,9,2,1,3
2,2,2,2,1,1,6,40,5,2,2,2
1,1,1,2,1,1,1,40,6,1,2,1
2,1,2,2,2,1,5,3,1,2,1,3
1,2,1,1,0,1,6,3,4,2,1,2
3,2,1,1,0,1,6,30,4,3,3,3
4,2,2,2,1,1,6,35,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
2,1,2,2,2,1,6,30,5,2,2,3
2,1,2,2,1,1,3,35,4,2,4,3
