Organization_Type,Job_Performance,Empowerment,Innovative_org_culture,Ethical_leadership,OCB,Perceived_org_goal_clarity,Diffficulty_of_work_life_balance,Training_opportunity,Org_commitment,Teamwork,Overall_job_satisfaction,Turnover_intention,Sex,Age,Education,Tenure
Private,9,8,8,28,16,15,4,12,11,7,4,No,Female,28,College,2
Private,8,8,8,24,18,10,4,15,11,8,4,No,Male,38,College,9
Private,7,5,8,21,11,10,6,11,9,8,3,No,Female,30,College,4
Private,8,6,9,22,12,11,6,10,10,7,2,Yes,Male,35,College,4
Private,8,6,6,22,13,11,4,12,8,4,4,No,Male,28,College,1
Private,9,8,8,26,15,12,5,9,12,8,3,No,Female,45,College,17
Private,8,8,8,22,16,13,3,13,12,9,4,No,Male,58,College,22
Private,5,7,8,21,11,11,7,9,11,6,4,No,Male,49,Elementary,21
Private,8,6,6,21,11,9,6,7,9,6,3,No,Male,41,College,13
Private,10,9,9,25,15,10,6,9,11,6,4,No,Male,47,College,20
Private,7,7,5,20,13,10,4,9,14,9,3,No,Male,36,College,10
Private,7,5,8,24,16,12,10,12,13,8,3,No,Female,35,College,12
Private,4,6,8,25,16,11,8,11,11,9,4,No,Male,28,College,3
Private,8,8,8,21,16,12,8,11,12,8,5,No,Female,41,College,15
Private,8,8,8,21,16,12,8,11,12,8,5,No,Female,43,College,15
Private,9,8,9,26,16,12,6,12,13,8,4,No,Male,44,College,19
Private,7,3,5,21,13,10,5,9,13,9,4,No,Female,26,College,1
Private,7,7,6,23,12,12,7,10,13,10,3,No,Male,36,College,9
Private,7,9,7,26,19,9,8,15,15,10,5,No,Male,40,College,10
Private,7,8,7,22,15,11,7,5,11,6,3,No,Male,35,College,12
Private,10,10,9,29,18,15,6,15,14,10,5,No,Male,50,Graduate school,18
Private,8,9,6,20,15,9,8,9,10,7,3,No,Male,47,Graduate school,22
Private,7,9,5,18,12,12,6,9,14,7,4,Yes,Female,26,College,2
Private,7,8,6,20,13,11,5,10,14,8,4,No,Male,47,High,20
Private,7,5,6,16,12,9,6,9,13,8,4,No,Male,43,College,20
Private,10,6,7,22,14,13,2,9,11,7,4,No,Male,53,College,20
Private,8,5,8,21,11,11,7,10,10,7,5,No,Male,45,College,18
Private,8,5,7,19,12,13,7,10,9,7,5,No,Female,43,College,18
Private,8,7,8,24,15,10,4,13,15,8,4,No,Female,30,College,6
Private,9,9,8,24,14,12,6,13,15,9,5,No,Male,39,College,13
Private,6,7,6,23,15,11,7,8,11,10,4,No,Female,45,College,20
Private,8,9,5,28,18,12,6,8,14,8,3,Yes,Male,37,College,13
Private,9,7,7,20,15,10,7,11,14,10,3,No,Female,26,College,2
Private,4,3,5,16,13,9,5,10,14,6,3,No,Male,31,College,4
Private,9,8,10,27,17,15,4,11,11,8,4,No,Female,34,College,11
Private,6,5,9,16,13,11,7,12,11,7,3,Yes,Female,23,High,2
Private,8,6,9,30,16,14,2,13,13,8,4,No,Male,33,College,4
Private,9,8,10,22,16,13,3,13,13,8,4,No,Male,50,College,25
Private,8,8,8,26,19,12,2,15,13,10,5,No,Female,45,College,23
Private,7,7,5,18,13,10,4,12,11,6,4,No,Female,25,High,4
Private,9,8,8,25,15,14,2,10,11,6,4,No,Male,39,College,17
Private,9,7,7,22,18,12,5,10,11,7,5,No,Female,31,Graduate school,10
Private,10,8,10,24,12,12,8,9,12,8,5,No,Male,44,College,20
Private,6,6,6,15,16,10,6,11,12,8,3,Yes,Female,20,High,1
Private,10,10,10,30,17,15,8,15,15,10,4,No,Female,48,Graduate school,20
Private,7,6,7,24,16,14,2,12,13,8,4,No,Male,45,College,20
Private,9,9,8,26,16,15,2,10,13,10,4,No,Male,47,College,20
Private,7,7,7,23,17,14,2,12,14,10,4,No,Female,50,College,27
Private,7,6,8,21,18,11,7,11,14,6,4,No,Female,24,College,1
Private,10,10,10,29,12,9,6,13,12,6,4,No,Male,35,College,8
Private,8,7,8,22,15,11,4,9,12,8,4,No,Female,45,High,20
Private,7,7,7,17,13,10,7,10,14,10,4,No,Male,35,College,7
Private,6,7,8,20,14,9,4,10,11,9,4,No,Male,38,College,7
Private,6,6,6,24,16,9,7,12,12,8,3,No,Male,42,College,17
Private,6,5,6,29,16,9,7,12,13,8,3,No,Male,44,College,19
Private,8,7,5,18,15,11,2,10,12,6,3,No,Male,41,College,16
Private,6,7,5,19,14,11,8,10,13,8,5,No,Male,44,College,16
Private,8,7,5,16,15,14,2,10,12,7,4,No,Male,43,College,15
Private,7,8,6,20,14,10,2,11,11,6,4,No,Male,43,College,15
Private,8,8,6,22,12,10,7,10,11,6,4,No,Male,38,College,13
Private,7,5,7,23,11,13,7,10,12,7,3,No,Male,42,College,13
Private,7,8,9,16,11,9,5,6,12,7,4,No,Male,53,College,25
Private,7,7,7,21,13,10,5,10,14,7,4,No,Male,44,College,16
Private,7,7,5,19,13,9,5,8,10,7,3,No,Female,26,College,4
Private,8,8,8,25,16,15,5,14,15,8,4,No,Male,36,College,10
Private,8,7,8,22,14,12,5,12,12,8,4,No,Male,26,College,2
Private,6,7,8,19,14,10,5,8,12,8,3,No,Male,43,College,18
Private,9,7,9,21,13,14,8,10,13,8,5,No,Male,53,College,28
Private,7,7,7,19,11,8,5,10,14,10,3,Yes,Female,41,High,21
Private,6,7,9,21,12,10,5,10,12,8,3,No,Male,47,College,18
Private,8,8,8,22,16,10,6,10,12,7,4,No,Male,32,College,5
Private,7,6,7,20,14,10,8,11,10,8,5,No,Male,43,College,15
Private,7,6,7,22,11,13,8,10,13,8,5,No,Male,45,College,18
Private,9,7,8,21,,14,7,12,13,8,5,No,Male,53,College,25
Private,7,7,8,25,17,12,8,11,12,8,4,No,Female,42,College,18
Private,6,7,7,17,12,10,2,11,12,8,3,No,Male,33,College,7
Private,6,8,8,27,16,9,2,12,13,8,4,No,Male,43,College,15
Private,3,5,8,25,17,9,8,12,13,8,4,No,Female,28,College,3
Private,3,5,8,,18,13,7,10,13,8,4,No,Male,28,College,1
Private,5,5,8,29,16,12,8,9,13,8,4,No,Male,28,College,2
Private,6,6,8,20,13,10,7,12,12,8,4,No,Male,36,College,10
Private,6,6,8,20,13,10,5,10,11,8,4,No,Female,26,College,2
Private,6,6,8,20,16,12,5,10,13,7,4,No,Female,26,College,2
Private,6,6,8,28,17,12,5,13,13,8,4,No,Female,27,College,2
Private,7,7,7,17,13,10,5,10,13,9,4,No,Female,35,College,10
Private,9,8,8,23,16,13,6,14,13,9,5,No,Male,50,College,22
Private,9,8,8,24,15,12,5,13,15,8,5,No,Male,45,College,18
Private,9,9,9,24,16,13,6,13,15,9,5,No,Male,53,College,26
Private,8,8,6,19,13,9,7,9,11,5,4,No,Male,33,College,5
Private,9,10,8,18,14,10,8,9,12,8,5,No,Male,34,College,7
Private,7,8,7,21,15,12,6,11,13,7,5,No,Male,45,College,17
Private,8,2,6,19,13,11,7,10,13,6,5,No,Male,38,College,10
Private,10,7,7,20,11,10,7,8,14,8,3,No,Male,35,College,6
Private,9,9,8,22,14,7,6,11,10,8,5,No,Male,48,College,20
Private,9,8,8,22,15,11,7,11,12,7,4,No,Female,33,College,6
Private,10,10,10,28,17,13,8,15,15,10,5,No,Male,50,Graduate school,25
Private,8,8,9,23,12,11,6,11,14,9,4,No,Male,41,High,16
Private,7,7,8,21,12,10,5,9,11,6,4,No,Male,41,College,15
Private,7,5,6,18,13,9,4,10,15,7,4,No,Female,32,College,6
Private,7,7,8,17,10,9,3,10,11,2,3,No,Male,43,College,16
Private,8,8,8,28,13,13,4,13,15,8,4,No,Female,45,College,19
Private,9,8,8,25,15,15,4,13,15,8,5,No,Male,53,College,25
Private,8,9,10,20,12,12,8,11,13,8,4,No,Male,45,Graduate school,10
Private,10,10,10,23,15,15,5,12,11,8,5,No,Male,33,College,3
Private,7,5,7,22,12,12,8,10,11,7,3,No,Male,36,Graduate school,9
Private,8,8,6,22,17,12,6,15,13,7,3,No,Male,40,College,23
Private,6,8,8,26,14,10,8,9,11,8,3,No,Male,40,College,20
Private,8,6,8,30,18,15,6,12,14,8,5,No,Female,48,College,25
Private,7,8,8,19,14,15,6,15,14,9,5,No,Male,30,College,5
Private,8,7,6,21,20,9,7,12,15,10,4,No,Male,40,College,12
Private,7,5,7,19,13,10,4,10,11,7,4,No,Female,25,College,5
Private,6,4,6,19,14,9,5,9,14,7,3,Yes,Female,35,College,3
Private,7,5,7,19,16,10,3,11,14,8,3,Yes,Female,32,College,7
Private,8,7,4,15,13,9,8,6,9,6,3,Yes,Male,27,College,3
Private,6,4,6,28,18,13,6,11,9,8,4,Yes,Male,27,College,1
Private,8,7,9,28,18,14,8,11,13,9,5,No,Male,59,High,33
Private,8,5,5,19,14,12,6,11,12,8,3,No,Female,31,College,7
Private,8,8,7,21,14,10,5,11,11,8,4,No,Male,27,College,1
Private,7,8,6,20,15,12,2,12,11,8,4,No,Female,27,College,2
Private,8,6,6,22,13,9,5,10,9,8,4,No,Female,25,College,1
Private,7,9,10,17,13,9,4,8,13,9,4,No,Female,37,College,9
Private,8,6,7,18,14,11,9,9,11,8,4,No,Male,35,College,8
Private,8,7,7,18,13,12,5,5,10,6,3,No,Male,38,College,12
Private,8,5,6,24,16,12,5,5,8,8,2,Yes,Female,29,College,10
Private,8,8,8,25,15,15,6,12,12,6,3,No,Male,40,College,8
Private,7,7,8,19,15,12,7,12,13,9,4,No,Female,28,College,5
Private,8,9,8,22,15,11,7,11,12,8,4,No,Male,44,College,18
Private,8,5,6,23,15,10,5,10,11,8,3,No,Male,33,College,8
Private,8,7,7,20,13,10,5,11,13,7,4,No,Male,47,College,17
Private,8,8,7,21,13,10,6,12,12,8,4,No,Male,40,College,13
Private,8,8,7,20,12,9,6,12,12,7,3,No,Male,28,College,6
Private,5,5,7,17,13,10,3,10,14,9,5,No,Male,21,High,1
Private,7,7,7,21,16,11,4,10,11,7,3,No,Female,25,College,4
Private,8,8,7,22,15,9,5,9,13,8,4,No,Male,56,College,15
Private,10,6,8,26,17,9,2,6,11,6,4,No,Female,29,College,9
Private,8,8,7,19,14,9,8,10,11,7,4,No,Male,51,College,20
Private,8,8,8,23,15,11,6,11,13,9,4,,Male,33,Graduate school,5
Private,8,6,7,20,13,8,4,9,9,7,3,No,Female,29,College,6
Private,7,7,7,24,16,10,6,11,11,9,4,No,Male,55,College,23
Private,10,6,9,11,15,12,2,3,15,8,4,No,Female,40,College,20
Private,8,7,5,20,13,8,2,10,10,6,4,No,Male,69,High,20
Private,7,8,6,19,12,6,7,11,12,8,4,No,Female,25,College,3
Private,7,5,5,21,14,10,6,11,10,8,4,No,Female,32,College,6
Private,9,8,6,20,15,9,6,9,14,8,4,Yes,Female,23,High,3
Private,9,8,8,21,14,11,4,9,12,8,4,No,Female,26,College,1
Private,8,8,8,23,16,13,4,12,15,10,5,No,Male,50,College,23
Private,8,5,6,19,13,9,9,9,10,6,3,Yes,Male,33,College,8
Private,7,8,6,22,14,11,7,11,10,8,3,No,Male,36,College,12
Private,6,7,8,18,16,11,4,8,12,8,4,Yes,Male,40,College,14
Private,7,8,7,19,14,11,6,11,10,8,4,No,Male,31,College,8
Private,9,9,10,19,16,11,4,12,11,8,3,Yes,Female,27,College,10
Private,9,9,9,19,13,11,7,11,13,8,4,No,Male,47,College,20
Private,7,6,7,21,13,11,3,11,11,8,4,No,Female,35,College,15
Private,8,7,7,21,12,10,5,10,12,7,4,No,Male,54,College,27
Private,7,7,7,23,15,11,3,10,11,9,3,No,Male,46,College,19
Private,7,5,6,19,12,10,4,10,13,8,3,No,Male,39,College,12
Private,8,7,7,22,16,11,4,11,11,8,5,No,Female,27,College,3
Private,8,7,5,15,13,9,7,9,10,6,2,Yes,Male,38,College,15
Private,8,7,6,17,10,11,5,6,13,6,3,No,Female,35,College,15
Private,6,7,6,21,13,9,2,9,8,6,3,No,Female,39,College,15
Private,7,5,6,18,12,10,4,10,9,7,5,No,Male,23,Middle,1
Private,7,7,7,20,15,12,5,15,15,10,4,No,Male,46,College,20
Private,8,8,4,25,14,12,4,4,15,6,5,No,Male,54,College,20
Private,7,7,8,23,18,12,7,11,11,8,3,Yes,Female,34,College,12
Private,8,8,7,23,14,9,5,9,13,7,5,No,Male,45,College,17
Private,7,8,8,23,14,9,5,9,13,7,5,No,Male,44,College,15
Private,9,7,8,21,15,7,5,11,15,10,4,No,Male,45,College,17
Private,8,8,6,21,13,9,5,9,9,6,4,No,Female,25,College,1
Private,9,8,8,24,15,12,5,11,13,8,4,No,Female,25,High,3
Private,6,8,10,24,14,11,5,11,13,8,5,No,Female,36,College,10
Private,8,7,8,23,16,11,5,9,11,8,4,No,Male,44,High,25
Private,7,8,7,22,13,10,2,9,13,8,3,No,Female,28,High,9
Private,8,7,6,21,16,12,6,12,9,6,4,No,Female,26,Graduate school,3
Private,9,8,6,18,11,11,7,10,10,6,4,No,Female,41,College,10
Private,7,4,5,15,10,9,4,8,12,8,3,No,Male,42,College,14
Private,8,8,8,24,18,10,8,12,12,8,4,No,Male,31,College,4
Private,8,9,9,20,14,10,5,11,13,8,4,No,Male,39,College,12
Private,8,5,8,19,13,12,5,10,12,8,4,No,Female,30,College,4
Private,7,6,6,19,10,11,6,9,11,6,3,No,Male,31,College,6
Private,8,8,8,20,18,11,7,9,10,8,4,No,Male,26,College,3
Private,8,7,7,24,19,12,7,11,13,7,4,No,Male,49,Graduate school,20
Private,8,6,8,18,13,13,7,10,11,6,4,No,Male,48,College,15
Private,8,8,8,26,17,11,7,9,12,8,4,No,Female,30,College,4
Private,7,6,6,21,17,10,6,11,11,6,3,No,Female,43,College,17
Private,6,4,6,19,15,9,8,8,10,8,4,No,Female,42,High,5
Private,8,6,7,21,15,10,6,11,12,8,3,No,Male,28,High,6
Private,9,8,7,25,15,12,6,12,15,8,5,No,Male,53,College,25
Private,7,5,7,19,14,9,3,9,9,2,3,No,Male,33,College,6
Private,9,7,9,19,13,10,5,11,13,9,4,No,Male,51,College,20
Private,7,7,7,20,16,11,6,11,14,8,4,No,Male,52,College,23
Private,8,7,7,18,7,12,6,11,14,6,4,No,Female,28,College,3
Private,6,5,5,21,14,10,5,10,13,7,4,Yes,Female,30,College,5
Private,8,9,9,29,16,13,8,12,14,8,4,No,Male,51,College,24
Private,7,7,10,27,19,14,7,11,13,8,5,No,Male,53,College,28
Private,8,9,8,29,17,14,8,11,13,8,5,No,Female,46,College,21
Private,7,9,9,24,17,9,8,11,13,8,4,No,Male,48,College,20
Private,5,4,7,27,18,14,8,11,13,9,5,No,Male,40,College,14
Private,9,8,8,24,15,12,8,12,11,8,4,No,Male,56,College,29
Private,8,8,7,20,13,11,6,11,11,7,4,No,Female,34,College,4
Private,7,8,7,22,15,11,5,11,13,8,4,No,Male,43,College,10
Private,8,8,8,23,19,11,5,8,12,9,4,No,Female,31,College,8
Private,8,5,7,20,10,11,6,10,13,7,4,No,Male,32,College,6
Private,7,6,7,21,15,10,6,10,11,7,4,No,Male,38,College,7
Private,8,7,7,22,14,10,5,11,13,7,4,No,Male,43,College,13
Private,5,5,8,28,19,15,8,10,12,8,5,No,Male,39,College,12
Private,7,7,8,28,17,15,8,11,13,10,5,No,Male,49,College,23
Private,6,7,6,21,12,10,5,7,11,9,3,Yes,Male,35,College,6
Private,9,9,8,23,16,11,7,8,14,8,3,No,Female,40,College,15
Private,9,6,7,21,15,10,5,11,13,8,4,No,Male,29,College,2
Private,8,8,8,24,15,12,4,7,12,6,5,Yes,Male,50,College,26
Private,6,6,5,25,13,12,2,9,10,8,3,Yes,Female,23,College,3
Private,8,7,7,19,14,9,6,11,12,8,4,No,Male,31,College,6
Private,9,5,7,19,13,11,5,10,12,8,4,No,Female,32,College,6
Private,8,5,6,19,12,9,7,10,11,5,3,No,Female,32,College,8
Private,7,7,7,22,14,11,6,10,11,7,3,No,Male,43,College,16
Private,7,5,6,21,13,10,3,11,14,9,4,No,Female,30,College,8
Private,6,5,6,15,12,10,5,10,11,8,3,No,Female,32,High,14
Private,8,6,9,23,14,13,8,9,11,8,3,No,Female,35,College,7
Private,7,8,8,21,13,9,6,11,15,8,4,No,Male,56,Graduate school,25
Private,6,6,5,,15,11,6,10,10,6,3,No,Male,39,College,12
Private,9,8,6,20,12,11,7,12,13,8,4,No,Male,32,College,7
Private,7,8,7,26,18,14,8,12,13,8,4,No,Male,51,College,24
Private,7,7,6,20,17,10,6,11,11,8,4,Yes,Male,30,College,2
Private,6,8,8,23,14,,7,9,12,8,3,No,Female,25,College,2
Private,8,7,8,23,15,11,3,9,11,6,4,No,Female,33,College,7
Private,7,8,7,22,15,10,4,10,11,6,3,No,Female,27,College,4
Private,8,7,6,22,15,11,8,10,15,6,3,No,Male,45,College,20
Private,8,7,7,17,15,10,7,9,13,8,4,Yes,Female,33,College,8
Private,6,6,6,19,15,8,7,10,11,8,3,Yes,Male,51,College,27
Private,6,6,5,22,14,11,5,10,10,7,4,No,Male,46,Graduate school,23
Private,7,6,6,20,12,10,5,10,12,6,3,Yes,Female,26,College,3
Private,7,6,7,21,13,10,5,11,12,7,4,No,Male,47,College,16
Private,7,8,7,19,14,9,6,9,14,8,4,No,Male,43,College,11
Private,7,5,7,21,15,11,6,11,12,7,4,Yes,Female,27,College,3
Private,7,5,7,21,15,11,6,11,12,7,4,Yes,Female,27,College,3
Private,7,6,6,18,12,10,5,10,14,7,3,No,Male,48,College,14
Private,7,5,7,20,11,13,8,10,12,9,2,No,Male,35,College,11
Private,8,6,8,21,14,13,8,11,11,8,4,No,Male,42,College,13
Private,7,8,7,20,15,9,5,11,12,8,3,No,Female,38,High,10
Private,7,6,7,20,14,9,4,9,12,8,4,Yes,Male,25,High,1
Private,8,6,8,28,18,11,6,9,11,8,4,No,Male,43,College,10
Private,9,6,6,21,12,9,5,8,11,6,3,No,Male,35,College,6
Private,9,8,8,16,11,6,5,6,13,6,4,No,Male,28,College,1
Private,8,4,5,16,11,7,4,8,12,5,4,No,Female,28,College,5
Private,8,8,8,18,12,9,5,6,12,8,4,No,Male,43,College,10
Private,8,8,8,23,15,12,4,12,13,8,4,No,Male,43,College,10
Private,8,8,8,21,15,9,8,10,11,8,3,No,Male,40,College,15
Private,8,8,9,24,12,13,5,10,13,8,3,No,Female,28,College,1
Private,8,7,9,20,12,10,4,10,12,6,4,No,Male,50,College,22
Private,7,5,7,21,14,10,3,10,11,7,4,No,Male,35,College,7
Private,9,7,5,20,13,11,5,8,11,8,3,No,Male,47,College,16
Private,8,8,7,22,14,10,6,11,12,8,4,No,Male,28,College,6
Private,8,6,7,20,11,10,4,9,11,6,4,No,Female,24,High,4
Private,8,8,8,25,19,13,8,11,12,8,3,No,Male,38,College,11
Private,8,8,6,19,14,9,8,11,10,6,4,No,Male,48,College,19
Private,8,8,8,18,17,12,6,9,11,6,2,Yes,Male,38,College,9
Private,7,6,8,22,15,9,6,12,12,8,4,No,Male,30,College,7
Private,7,7,7,17,11,11,3,8,9,9,4,No,Male,44,College,13
Private,8,8,10,21,13,9,7,9,15,8,3,No,Male,45,High,10
Private,7,8,10,29,18,15,8,10,13,10,5,No,Male,44,College,17
Private,8,5,6,18,13,10,7,8,11,6,3,Yes,Male,36,College,10
Private,10,7,4,25,16,14,2,7,14,8,4,No,Female,25,College,1
Private,9,6,4,20,13,9,5,6,11,8,3,No,Female,22,College,2
Private,5,3,6,26,18,12,8,11,13,8,4,No,Male,28,College,2
Private,7,6,8,25,17,12,8,12,13,8,4,No,Female,43,College,19
Private,8,8,7,19,15,12,6,8,13,8,3,Yes,Male,45,College,18
Private,7,3,6,21,11,11,5,11,11,7,4,No,Female,28,College,3
Private,7,3,6,21,11,11,5,11,11,7,4,No,Female,28,College,3
Private,7,5,6,21,12,8,4,12,13,7,3,Yes,Female,26,College,2
Private,7,8,9,20,15,11,5,11,12,8,4,No,Male,57,College,26
Private,7,5,5,21,14,11,6,8,14,9,3,No,Male,30,College,4
Private,7,7,9,22,12,11,4,13,14,7,4,No,Male,43,College,15
Private,9,7,7,19,16,10,5,8,13,9,3,No,Male,45,College,19
Private,9,7,8,21,13,9,3,10,14,9,4,No,Male,47,College,25
Private,7,7,7,19,13,11,3,10,14,9,3,No,Male,45,College,18
Private,7,7,7,20,13,9,3,9,14,8,3,No,Male,41,College,11
Private,6,5,7,20,14,9,5,8,9,8,2,Yes,Female,20,College,1
Private,7,7,6,20,14,10,6,7,11,6,4,No,Male,38,College,5
Private,7,7,6,18,14,9,6,9,9,6,3,No,Female,25,College,2
Private,7,8,8,21,14,12,6,11,12,8,4,No,Female,26,College,2
Private,9,6,6,20,15,10,6,10,11,7,5,No,Male,32,College,4
Private,8,6,6,21,15,12,7,11,8,7,4,No,Male,51,College,20
Private,7,5,8,19,12,13,8,10,13,7,3,No,Male,37,College,10
Private,9,4,5,19,14,12,7,10,13,8,3,No,Male,31,College,5
Private,8,6,8,18,12,9,4,6,9,4,2,Yes,Female,29,College,4
Private,8,8,6,19,11,10,8,11,11,7,4,No,Male,49,College,15
Private,8,7,7,23,12,12,6,9,15,8,5,No,Female,23,College,1
Private,8,6,6,23,12,9,8,14,9,6,4,No,Female,32,College,4
Private,10,3,2,19,12,10,3,10,9,8,3,No,Female,32,College,8
Private,8,9,8,19,12,15,6,7,12,7,4,No,Female,35,High,10
Private,8,8,9,26,16,15,2,15,13,6,4,No,Female,55,High,8
Private,7,7,8,20,17,11,3,11,12,7,3,No,,39,College,15
Private,9,6,7,20,12,11,7,11,11,7,4,No,Male,32,College,6
Private,7,7,8,25,16,11,6,12,12,8,4,No,Male,45,College,16
Private,7,7,8,23,17,10,7,10,10,7,3,No,Female,26,College,1
Private,7,8,8,25,16,11,7,10,11,8,4,No,Male,50,College,23
Private,7,6,8,18,13,12,2,7,11,4,3,No,Female,29,College,6
Private,8,6,6,21,16,12,9,8,11,6,2,Yes,Male,30,College,3
Private,8,8,9,29,19,12,8,9,12,8,3,No,Male,39,College,13
Private,8,8,10,27,14,15,4,15,11,6,4,No,Male,42,College,12
Private,8,8,8,27,16,12,4,9,11,8,3,No,Male,36,College,10
Private,7,9,9,21,14,12,6,14,11,9,4,Yes,Female,25,College,2
Private,7,5,8,17,14,13,6,11,9,6,3,No,Female,41,College,15
Private,10,6,6,19,6,10,5,9,8,8,4,No,Male,48,College,30
Private,8,6,6,23,10,12,6,12,12,9,5,No,Female,44,High,20
Private,8,8,10,21,11,9,6,10,11,8,4,No,Male,51,College,21
Private,10,8,6,20,11,9,8,12,11,5,4,No,Male,52,College,22
Private,7,5,7,21,12,11,8,9,10,7,3,No,Male,42,College,13
Private,7,5,7,20,12,12,8,9,11,7,3,No,Female,35,College,9
Private,8,6,8,23,14,12,5,9,11,7,4,No,Male,28,College,1
Private,8,7,8,26,15,12,4,8,13,8,5,No,Female,28,College,2
Private,8,8,7,21,12,11,7,11,11,6,4,No,Male,53,College,13
Private,6,6,6,20,14,10,6,10,11,7,2,No,Female,33,College,4
Private,8,8,7,21,13,10,7,11,10,8,4,No,Male,28,College,6
Private,8,6,8,18,13,11,4,12,12,8,3,No,Female,41,College,5
Private,9,6,6,23,16,10,6,9,12,6,3,Yes,Male,41,College,17
Private,7,8,6,17,13,10,4,12,10,7,3,No,Female,27,College,5
Private,7,5,9,19,12,11,8,11,10,7,2,Yes,Female,32,College,8
Private,10,7,6,19,14,10,6,10,10,6,4,No,Female,33,College,10
Private,5,6,6,19,12,10,6,11,8,6,4,No,Female,25,High,3
Private,8,8,6,19,14,10,5,11,12,8,3,Yes,Female,30,College,5
Private,7,7,8,18,11,11,4,10,14,9,4,No,Male,41,College,15
Private,7,6,7,17,16,12,6,7,12,10,4,Yes,Female,27,College,4
Private,6,6,6,20,10,9,5,9,12,6,4,No,Male,39,College,11
Private,8,6,6,18,11,12,6,10,10,6,3,No,Female,30,College,5
Private,8,8,8,19,10,9,4,9,11,6,4,No,Female,25,College,2
Private,7,9,8,25,15,8,5,12,12,9,3,No,Female,33,College,10
Private,10,7,10,22,11,12,7,8,11,8,3,No,Male,51,College,16
Private,9,8,10,28,20,11,6,11,12,8,4,No,Female,32,College,13
Private,6,8,6,22,13,9,8,15,12,8,3,No,Male,48,College,18
Private,8,8,9,27,14,12,4,9,12,6,3,No,Male,38,College,9
Private,7,7,7,22,15,10,7,10,14,9,3,No,Female,38,Graduate school,10
Private,7,7,6,23,13,11,8,9,12,8,4,No,Male,36,College,8
Private,9,8,10,27,17,12,6,8,11,8,3,Yes,Female,28,College,10
Private,8,7,6,19,15,12,7,9,13,10,3,No,Male,42,Graduate school,17
Private,7,5,6,17,13,10,5,9,11,9,3,No,Male,34,College,6
Private,7,5,7,20,10,10,3,8,14,10,3,No,Female,25,College,4
Private,7,7,7,19,13,9,5,10,13,8,4,No,Male,39,College,13
Private,3,3,6,18,11,11,3,8,13,6,4,No,Male,35,College,8
Private,7,9,5,17,12,15,10,7,15,6,3,No,Male,35,College,10
Private,8,8,7,21,17,11,2,14,13,8,5,No,Male,35,College,5
Private,9,9,7,23,18,12,7,10,11,7,3,No,Female,27,College,10
Private,9,8,7,24,17,13,7,11,11,6,4,No,Female,27,College,3
Private,9,7,6,24,14,10,7,11,12,7,4,No,Female,25,College,6
Private,7,3,7,15,13,11,3,11,4,2,4,Yes,Female,38,High,18
Private,8,7,7,28,15,14,4,7,9,9,3,No,Female,51,College,15
Private,7,6,6,21,13,8,6,10,10,6,3,Yes,Female,26,College,2
Private,9,9,8,25,18,11,4,8,12,10,4,No,Female,31,College,10
Private,8,8,6,22,12,11,6,11,11,7,4,No,Male,39,College,12
Private,6,8,7,21,16,10,9,10,11,7,3,No,Female,25,College,3
Private,5,5,4,14,11,8,10,7,10,7,2,Yes,Female,26,College,4
Private,9,9,5,21,13,10,6,12,12,8,4,No,Female,32,College,7
Private,7,6,6,23,15,10,7,11,11,8,4,No,Female,42,College,20
Private,9,9,9,26,14,13,7,7,14,9,3,No,Female,42,College,7
Private,10,10,5,21,14,7,8,9,13,8,3,No,Female,30,College,8
Private,10,9,10,25,17,15,6,11,15,8,4,No,Male,48,Graduate school,20
Private,10,6,5,16,8,15,5,9,9,5,4,No,Female,43,High,20
Private,9,9,7,20,14,10,5,12,11,5,3,No,Female,28,College,3
Private,6,4,3,19,13,9,8,8,13,10,2,No,Male,31,College,6
Private,7,5,7,18,12,9,5,10,11,7,3,No,Male,35,College,9
Private,7,7,7,21,12,10,5,11,14,9,4,No,Male,27,College,2
Private,7,7,7,20,13,9,5,10,14,8,4,No,Male,37,Graduate school,10
Private,8,7,7,22,11,10,6,8,11,9,1,Yes,Female,40,College,18
Private,9,10,9,24,15,11,7,11,12,9,3,No,Male,35,College,10
Private,5,5,7,14,14,10,5,11,12,8,3,No,Male,30,College,5
Private,10,10,9,24,15,11,6,12,11,8,4,No,Female,28,College,3
Private,7,9,9,20,11,9,4,9,13,9,4,No,Male,54,College,18
Private,7,5,6,18,13,10,5,11,14,8,3,No,Female,28,College,5
Private,7,5,6,19,10,9,5,13,14,7,4,No,Male,48,College,18
Private,7,7,7,19,15,10,5,8,10,8,4,Yes,Male,31,College,5
Private,7,4,9,19,11,12,7,10,11,7,5,No,Male,33,College,9
Private,8,8,8,28,11,13,5,9,11,6,3,No,Male,35,College,3
Private,10,9,8,24,16,11,4,12,11,8,4,No,Female,27,College,2
Private,8,8,8,22,13,11,4,12,12,6,4,No,Male,37,College,10
Private,7,6,8,23,16,11,7,11,13,7,3,No,Male,39,College,13
Private,7,6,8,21,13,11,7,11,12,8,3,No,Male,43,College,15
Private,8,8,8,20,16,9,4,12,10,8,4,No,Female,25,College,2
Private,8,8,8,20,15,11,4,12,11,7,4,No,Female,26,College,2
Private,9,9,9,19,13,11,6,11,11,8,5,No,Male,48,College,20
Private,9,9,8,21,15,10,8,11,10,8,5,No,Male,33,College,6
Private,8,6,8,23,14,8,5,13,13,8,5,No,Male,43,College,15
