Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Jheranie Boyd,UNC,6,58,0,58,9.67,--,0,Rushing
Danny O'Brien,MD,33,150,93,57,1.73,--,2,Rushing
Donovan Varner,DUKE,5,57,0,57,11.4,--,0,Rushing
Rashad Greene,FSU,2,56,0,56,28,--,0,Rushing
Patrick Kurunwune,DUKE,22,62,6,56,2.55,--,0,Rushing
Sean Tapley,UNC,2,55,0,55,27.5,--,0,Rushing
Ted Stachitas,WF,8,55,8,47,5.88,--,1,Rushing
Jamison Crowder,DUKE,8,45,3,42,5.25,--,0,Rushing
Quintin McCree,MD,8,48,6,42,5.25,--,0,Rushing
David Watford,UVA,21,64,22,42,2,--,0,Rushing
Erik Highsmith,UNC,7,48,11,37,5.29,--,0,Rushing
Nick Knott,WF,8,35,0,35,4.38,--,1,Rushing
Bert Reed,FSU,1,35,0,35,35,--,0,Rushing
Tommy Bohanon,WF,15,33,2,31,2.07,--,2,Rushing
Daniel Dyer,VT,6,30,0,30,5,--,0,Rushing
Richard Watson,GT,3,30,0,30,10,--,0,Rushing
Stephen Hill,GT,4,31,2,29,7.25,--,0,Rushing
Jemea Thomas,GT,2,29,0,29,14.5,--,0,Rushing
Tony Gregory,VT,16,32,5,27,1.69,--,0,Rushing
Danny Coale,VT,4,35,9,26,6.5,--,0,Rushing
Michael Campanaro,WF,2,23,0,23,11.5,--,0,Rushing
Jacob Hodges,UVA,2,23,0,23,11.5,--,0,Rushing
Maurice Hagens,MIA,7,21,0,21,3,--,0,Rushing
Michael Rocco,UVA,40,138,118,20,0.5,--,2,Rushing
Travis Benjamin,MIA,8,28,9,19,2.38,--,0,Rushing
Jeremiah Wilson,MD,4,19,0,19,4.75,--,0,Rushing
Robert Godhigh,GT,2,18,0,18,9,--,0,Rushing
Khalek Shepherd,UVA,5,16,0,16,3.2,--,0,Rushing
Max Milien,UVA,5,16,1,15,3,--,0,Rushing
Chris Jackson,GT,1,12,0,12,12,--,0,Rushing
Brendan Cross,WF,2,15,4,11,5.5,--,0,Rushing
Christian Green,FSU,2,11,0,11,5.5,--,0,Rushing
Dwight Jones,UNC,2,11,0,11,5.5,--,0,Rushing
Debrale Smiley,FSU,5,12,1,11,2.2,--,1,Rushing
Brandon Barnes,NCST,3,10,0,10,3.33,--,0,Rushing
Danny Dembry,WF,2,10,1,9,4.5,--,1,Rushing
Darryl Dickey,GT,3,9,0,9,3,--,0,Rushing
Reggie Wilkins,UNC,1,9,0,9,9,--,0,Rushing
Adam Humphries,CLEM,2,7,0,7,3.5,--,0,Rushing
Braden Hanson,UNC,3,9,3,6,2,--,0,Rushing
Darius Jennings,UVA,7,22,16,6,0.86,--,0,Rushing
T.J. Thorpe,UNC,2,6,0,6,3,--,0,Rushing
Chad Abram,FSU,2,5,0,5,2.5,--,0,Rushing
Tyler Cierski,MD,4,5,0,5,1.25,--,0,Rushing
