month,month_open,month_close,month_avg_price,month_price_std,month_avg_volume,monthly_return,volatility
2010-10,23.96,24.5,24.35,0.25,5580485.71,2.25,1.03
2010-11,24.5,23.79,24.36,0.31,6981580.95,-2.9,1.27
2010-12,24.24,24.88,24.72,0.29,4751600,2.64,1.17
2011-01,25.11,25.03,25.32,0.15,6678810,-0.32,0.59
2011-02,25.48,25.81,25.57,0.17,7421368.42,1.3,0.66
2011-03,25.6,26.27,25.79,0.35,9067500,2.62,1.36
2011-04,26.41,27.96,26.92,0.53,6543155,5.87,1.97
2011-05,28.25,28.65,28.44,0.25,10544290.48,1.42,0.88
2011-06,28.26,28.33,27.94,0.23,10527404.55,0.25,0.82
2011-07,28.68,27.21,28.13,0.44,9555720,-5.13,1.56
2011-08,26.75,26.63,25.47,0.76,19810321.74,-0.45,2.98
2011-09,26.46,25.44,25.92,0.41,14816028.57,-3.85,1.58
2011-10,24.63,26.91,26.16,0.72,12771052.38,9.26,2.75
2011-11,26.39,27.16,26.53,0.56,7303823.81,2.92,2.11
2011-12,27.2,27.97,27.3,0.5,7348947.62,2.83,1.83
2012-01,28.33,28.86,28.67,0.25,6525990,1.87,0.87
2012-02,29.14,29.17,29.13,0.12,5845625,0.1,0.41
2012-03,29.32,30.48,29.68,0.44,5103936.36,3.96,1.48
2012-04,30.58,30.39,30.13,0.3,5575390,-0.62,1
2012-05,30.51,29.29,29.76,0.37,5590168.18,-4,1.24
2012-06,28.77,30.97,29.94,0.62,8221771.43,7.65,2.07
2012-07,31.06,31.27,31.03,0.36,5336123.81,0.68,1.16
2012-08,31.29,31.64,31.43,0.15,3976265.22,1.12,0.48
2012-09,31.71,32.85,32.47,0.41,4975447.37,3.6,1.26
2012-10,33.04,32.77,33.3,0.35,5604909.52,-0.82,1.05
2012-11,33.04,32.94,32.43,0.43,6530861.9,-0.3,1.33
2012-12,32.87,32.83,33.14,0.31,5857215,-0.12,0.94
2013-01,33.48,35.32,34.52,0.63,5689342.86,5.5,1.83
2013-02,35.6,35.76,35.61,0.17,5959326.32,0.45,0.48
2013-03,36.04,37.99,36.92,0.45,5431570,5.41,1.22
2013-04,38.09,39.13,39.04,0.49,8906513.64,2.73,1.26
2013-05,38.71,39.77,40.08,0.68,10163063.64,2.74,1.7
2013-06,39.99,39.54,39.74,0.46,11555005,-1.13,1.16
2013-07,39.64,42.37,41.28,1,6426518.18,6.89,2.42
2013-08,42.63,40.87,41.67,0.69,5087481.82,-4.13,1.66
2013-09,41.14,42.18,42.34,0.54,5479160,2.53,1.28
2013-10,42.72,44,43.23,0.86,6758495.65,3,1.99
2013-11,44.29,46.08,45.02,0.8,5018665,4.04,1.78
2013-12,46.1,46.42,45.76,0.56,4966633.33,0.69,1.22
2014-01,46.16,46.85,47.09,0.65,8518428.57,1.49,1.38
2014-02,45.93,49.77,48.32,1.33,9306110.53,8.36,2.75
2014-03,49.4,49.14,49.4,0.6,10909457.14,-0.53,1.21
2014-04,49.45,48.83,48.36,0.79,12389152.38,-1.25,1.63
2014-05,48.94,50.23,49.11,0.55,5492457.14,2.64,1.12
2014-06,50.3,51.3,50.7,0.49,5846561.9,1.99,0.97
2014-07,51.95,51.37,51.97,0.39,5753068.18,-1.12,0.75
2014-08,51.41,53.86,52.29,1.12,6179466.67,4.77,2.14
2014-09,53.83,54.09,54.29,0.39,6937166.67,0.48,0.72
2014-10,53.52,56.93,53.82,1.66,13819465.22,6.37,3.08
2014-11,57,58.91,57.57,0.59,7051621.05,3.35,1.02
2014-12,58.77,58.09,58.88,0.83,10033340.91,-1.16,1.41
2015-01,58.3,58.84,59.45,0.8,11927605,0.93,1.35
2015-02,59.18,61.37,60.27,1.01,9689968.42,3.7,1.68
2015-03,61.92,61.76,61.96,1.01,9826277.27,-0.26,1.63
2015-04,61.14,61.09,62.44,0.78,9723195.24,-0.08,1.25
2015-05,61.91,63.84,62.96,0.95,8209140,3.12,1.51
2015-06,64.09,63.59,64.02,0.73,7332059.09,-0.78,1.14
2015-07,64.27,65.47,64.87,0.88,7849413.64,1.87,1.36
2015-08,65.42,60.25,63.24,2.33,12671119.05,-7.9,3.68
2015-09,58.67,56.82,59.29,1.75,20094733.33,-3.15,2.95
2015-10,57.39,61.2,59.17,1.22,21447809.09,6.64,2.06
2015-11,62.51,61,61.27,0.74,10754955,-2.42,1.21
2015-12,62.03,62.06,61.57,0.74,10814963.64,0.05,1.2
2016-01,60.94,57.27,58.39,1.34,17487805.26,-6.02,2.29
2016-02,57.35,57.06,56.56,1.03,14195495,-0.51,1.82
2016-03,58.28,58.6,58.25,0.45,11630295.45,0.55,0.77
2016-04,59.27,60.34,60.74,0.91,12297047.62,1.81,1.5
2016-05,60.69,61.69,60.47,0.6,10047900,1.65,0.99
2016-06,61.92,62.25,61.63,0.9,10321618.18,0.53,1.46
2016-07,62.64,65.28,64.26,0.83,7608750,4.21,1.29
2016-08,65.7,63.16,64.54,0.76,7358095.65,-3.87,1.18
2016-09,63,62.84,62.96,0.51,8631480.95,-0.25,0.81
2016-10,62.79,58.7,61.18,1.21,9633409.52,-6.51,1.98
2016-11,58.39,59.91,60.23,1.33,15488580.95,2.6,2.21
2016-12,59.48,60.34,60.24,0.56,7974933.33,1.45,0.93
2017-01,61.13,61.72,61.5,0.61,8681055,0.97,0.99
2017-02,62.26,65.64,63.8,1.24,10264163.16,5.43,1.94
2017-03,66.29,65.32,65.9,0.49,9056008.7,-1.46,0.74
2017-04,65.37,66.32,65.3,0.47,6401773.68,1.45,0.72
2017-05,66.47,66.83,66.36,0.35,6031790.91,0.54,0.53
2017-06,67.57,69.89,69.04,1.25,8082604.55,3.43,1.81
2017-07,70.01,70.46,70.46,0.58,6699175,0.64,0.82
2017-08,70.3,71.69,69.86,0.6,6096939.13,1.98,0.86
2017-09,71.64,72.35,72.46,0.66,6612670,0.99,0.91
2017-10,73.08,71.8,73.2,0.62,6532209.09,-1.75,0.85
2017-11,71.97,73.89,72.23,0.58,6217719.05,2.67,0.8
2017-12,73.74,73.48,73.68,0.57,6922315,-0.35,0.77
2018-01,74.31,78.3,77.69,1.97,8434866.67,5.37,2.54
2018-02,78.32,74.78,74.97,1.51,13982868.42,-4.52,2.01
2018-03,73.59,72.6,74.51,1.79,8652152.38,-1.35,2.4
2018-04,70.95,73.36,73.08,0.93,7739990.48,3.4,1.27
2018-05,73.33,73.5,73.38,0.97,9279404.55,0.23,1.32
2018-06,74.34,74.71,75.45,0.69,7616033.33,0.5,0.91
2018-07,74.94,79.61,77.81,1.26,6323090.48,6.23,1.62
2018-08,79.62,83.05,81.34,1.08,5616965.22,4.31,1.33
2018-09,82.39,85.51,83.79,1.01,6821121.05,3.79,1.21
2018-10,85.93,79.71,82.3,2.49,14980339.13,-7.24,3.03
2018-11,80.72,86.15,82.19,1.58,10256423.81,6.73,1.92
2018-12,85.74,78.09,79.32,3.59,17477194.74,-8.92,4.53
2019-01,76.91,81.85,79.37,1.56,10996966.67,6.42,1.97
2019-02,81.92,82.73,82.51,0.93,7821063.16,0.99,1.13
2019-03,83.91,83.13,82.56,0.91,10492347.62,-0.93,1.1
2019-04,83.26,80.88,81.13,1.98,13645319.05,-2.86,2.44
2019-05,80.73,79.08,80.41,0.83,15158850,-2.04,1.03
2019-06,79.27,84.3,83.08,1.55,10561370,6.35,1.87
2019-07,84.72,82.93,84.26,0.74,7559940.91,-2.11,0.88
2019-08,83.04,82.44,82.23,0.81,9787559.09,-0.72,0.99
2019-09,81.96,82.35,82.83,0.66,8041885,0.48,0.8
2019-10,81.55,86.58,83.25,1.85,8913847.83,6.17,2.22
2019-11,86.69,90.91,88.28,1.84,9557400,4.87,2.08
2019-12,90.51,94.07,92.68,1.46,5890090.48,3.93,1.58
2020-01,94.32,91.55,94.78,1.3,8453090.48,-2.94,1.37
2020-02,92.39,85.52,93.69,3.39,10852689.47,-7.44,3.62
2020-03,89.53,82.2,81.57,6.31,22424468.18,-8.19,7.74
2020-04,79.07,92.55,88.97,4.59,12943204.76,17.05,5.16
2020-05,90.78,95.59,92.66,1.18,12208560,5.3,1.27
2020-06,94.64,93.26,93.22,1.88,12412322.73,-1.46,2.02
2020-07,93.97,98.34,96.99,2.06,7453831.82,4.65,2.12
2020-08,99.36,100.89,99.58,0.64,5891466.67,1.54,0.64
2020-09,99.98,98.69,97.89,1.63,8438466.67,-1.29,1.67
2020-10,98.35,95.11,99.3,1.94,7695718.18,-3.29,1.95
2020-11,96.83,102.67,102.41,1.98,10938355,6.03,1.93
2020-12,103.53,106.57,104.86,0.7,6593468.18,2.94,0.67
2021-01,106.11,108.07,109.52,1.51,9101915.79,1.85,1.38
2021-02,108.48,105.79,108.33,1.09,8510663.16,-2.48,1.01
2021-03,107.17,110.05,107.77,1.6,10248473.91,2.69,1.48
2021-04,109.72,114.38,113.27,2.45,7037223.81,4.25,2.16
2021-05,115.68,116.52,116.33,0.66,9835890,0.73,0.57
2021-06,114.61,119.2,117.16,1.61,8868463.64,4,1.37
2021-07,120.26,125.07,122.46,1.46,9792204.76,4,1.19
2021-08,125.24,127.96,127.18,1.29,8719513.64,2.17,1.01
2021-09,128,120.9,125.7,2.39,11185404.76,-5.55,1.9
2021-10,120.93,127.09,122.24,2.65,13020795.24,5.09,2.17
2021-11,126.94,123.21,126.47,1.07,11448928.57,-2.94,0.85
2021-12,122.99,134.32,129.67,3.85,12672145.45,9.21,2.97
2022-01,132.94,125.11,126.75,3.4,17681810,-5.89,2.68
2022-02,125.45,123.9,124.41,2.22,13375284.21,-1.24,1.78
2022-03,123.22,131.01,127.43,3.4,12189969.57,6.32,2.67
2022-04,132.04,124.6,131.2,3.27,16045600,-5.63,2.49
2022-05,123.83,126.46,124.13,2.06,13918047.62,2.12,1.66
2022-06,124.64,123.16,121.21,3.85,9455738.1,-1.19,3.18
2022-07,124.54,127.16,124.76,1.51,8209195,2.1,1.21
2022-08,126.22,119.82,125.72,2.52,7225886.96,-5.07,2
2022-09,121.79,116.78,120.73,2.68,10703652.38,-4.11,2.22
2022-10,119.18,128,121.86,3.36,9124657.14,7.4,2.76
2022-11,128.08,134.05,129.04,2.23,7693257.14,4.66,1.73
2022-12,134.43,131.53,132.64,1.64,7429204.76,-2.16,1.24
2023-01,131.15,129.12,129.87,1.07,7219980,-1.55,0.82
2023-02,129.73,123.13,127.2,1.85,8344331.58,-5.09,1.45
2023-03,122.92,125.83,123.14,1.37,11639317.39,2.37,1.11
2023-04,127.24,129.79,129.73,1.22,8275894.74,2,0.94
2023-05,130.46,124.25,127.53,2.13,9554450,-4.76,1.67
2023-06,125.06,129.54,127.53,1.2,8949628.57,3.58,0.94
2023-07,128.48,130.93,129.45,2.42,9179030,1.91,1.87
2023-08,130.24,130.01,130.81,1,9454265.22,-0.18,0.76
2023-09,130.36,126.16,128.54,1.17,8605210,-3.22,0.91
2023-10,125.99,122.05,125.66,2.33,11572804.55,-3.13,1.85
2023-11,122.3,128.68,125.83,1.71,9135980.95,5.22,1.36
2023-12,129.19,134.25,131.49,1.8,6793110,3.92,1.37
2024-01,136.61,138.19,137.55,0.76,8558114.29,1.16,0.55
2024-02,139.98,142.56,142.5,1.65,8645965,1.84,1.16
2024-03,144.05,145.95,144.02,0.8,7889375,1.32,0.56
2024-04,144.7,138.64,139.33,2.18,9369931.82,-4.19,1.56
2024-05,138.88,141.96,141.84,2.02,6719740.91,2.22,1.42
2024-06,142.96,144.55,144.48,0.68,5911742.11,1.11,0.47
2024-07,143.74,148.4,146.4,2.3,7110722.73,3.24,1.57
2024-08,149.92,155.91,151.15,3.21,7389100,4,2.12
2024-09,155.61,153.33,153.93,1.1,6598220,-1.47,0.71
2024-10,152.52,146.21,150.69,2.11,6487995.65,-4.14,1.4
2024-11,147.07,146.75,145.32,2.61,7401945,-0.22,1.8
2024-12,146.49,137.57,140.71,3.37,7576371.43,-6.09,2.39
2025-01,137.61,146.87,142.29,3.13,9133915,6.73,2.2
2025-02,147.44,145.82,146.83,0.86,10001125,-1.1,0.59
