Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Auden Tate,FSU,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shaun Wilson,DUKE,60,10,6,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
John Wolford,WF,60,10,10,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Eric Dungey,SYR,56,9,9,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Braxton Berrios,MIA,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Michael Carter,UNC,54,9,8,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Greg Dortch,WF,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dez Fitzpatrick,LOU,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Travis Homer,MIA,54,9,8,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cam Serigne,WF,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Carson Wise,NCST,53,0,0,0,0,0,0,0,0,0,0,35/37,12-Jun,0,0,Scoring
Cam Akers,FSU,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Reggie Bonnafon,LOU,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tavien Feaster,CLEM,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Anthony Ratliff-Williams,UNC,48,8,0,6,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Qadree Ollison,PITT,44,7,5,2,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Jaylen Smith,LOU,44,7,0,7,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Brittain Brown,DUKE,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jordan Ellis,UVA,42,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Reggie Gallaspy II,NCST,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jon Hilliman,BC,42,7,5,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tabari Hines,WF,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Steve Ishmael,SYR,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Daniel Jones,DUKE,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Andre Levrone,UVA,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jacques Patrick,FSU,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cam Phillips,VT,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Olamide Zaccheaus,UVA,38,6,1,5,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
KirVonte Benson,GT,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deon Cain,CLEM,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Adam Choice,CLEM,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Matt Colburn,WF,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Josh Jackson,VT,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ricky Jeune,GT,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Sean Savoy,VT,36,6,2,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dontae Strickland,SYR,36,6,4,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jakobi Meyers,NCST,32,5,0,5,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Brenton King,GT,30,0,0,0,0,0,0,0,0,0,0,15/16,6-May,0,0,Scoring
Travon McMillian,VT,30,5,2,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nyqwan Murray,FSU,30,5,0,4,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Ervin Philips,SYR,30,5,1,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Joe Reed,UVA,30,5,1,2,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Malik Rosier,MIA,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Chazz Surratt,UNC,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kyle Bambard,NCST,26,0,0,0,0,0,0,0,0,0,0,14/15,8-Apr,0,0,Scoring
Shawn Davis,GT,25,0,0,0,0,0,0,0,0,0,0,19/20,4-Feb,0,0,Scoring
Jordon Brown,UNC,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Seth Dawkins,LOU,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brandon Fritts,UNC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
J.J. Green,GT,24,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kelvin Harmon,NCST,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Christopher Herndon IV,MIA,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Steven Peoples,VT,24,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ravian Pierce,SYR,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Charles Standberry,LOU,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tommy Sweeney,BC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jester Weah,PITT,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Malik Williams,LOU,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Greg Huegel,CLEM,20,0,0,0,0,0,0,0,0,0,0,14/15,4-Feb,0,0,Scoring
Alex Bachman,WF,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Josh Cabrera,UNC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Lawrence Cager,MIA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Beau Corrales,UNC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
DeeJay Dallas,MIA,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Donovan Dowling,UVA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Finley,NCST,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
C.J. Fuller,CLEM,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Green,FSU,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jalen Holston,VT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Izzo,FSU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Davis Koppenhaver,DUKE,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deshawn McClease,VT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Chawntez Moss,PITT,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Hunter Renfrow,CLEM,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ahmmon Richards,MIA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Thaddius Smith,BC,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Greg Stroman,VT,18,3,0,0,0,2,1,0,0,0,0,0/0,0/0,0,0,Scoring
Mark Walton,MIA,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Scotty Washington,WF,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dae Williams,LOU,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
